Rank,Address,Address_Nametag,Quantity,Percentage,Value
168,0x787b4b7ffef8eddad54f311039acf4c36fec9593,,"1,301.25",0.01%,$775.06
169,0xb6ce039c80856a3f553c6c9f22386e09e08335aa,,"1,291.58",0.01%,$769.30
170,0x4bc23896b70050a863c1449463f5364a39e4153c,,"1,274.33",0.01%,$759.03
171,0x6d7f98ee7c91af57a81416bb8f4902adb2204714,,"1,268.27",0.01%,$755.42
172,0x27ee3d1f71f41dead9661ea092f236b4bd14f380,,"1,251",0.01%,$745.14
173,0xbbca9d890fd61b1da3c607756508c4e97ece2e30,,"1,223.40",0.01%,$728.70
174,0x1605b5fc17b02daed754f67d65d203f1156f39dd,,"1,221.70",0.01%,$727.68
175,0xa15354ef7748349746bbe19316ac3fa1aa7c30f4,,"1,218.92",0.01%,$726.03
176,0x1245544e8d756096923897a4dce3d47f6413f495,,"1,212.60",0.01%,$722.26
177,0x011771812b07a6f15c1d97ce759ea1bfa0ab932e,,"1,208.98",0.01%,$720.10
178,0x74e3e26e03b9122aeb8a9ccef0d6282d5b62de19,,"1,201.23",0.01%,$715.49
179,0x9fb1838ec45673a45a4853b2e26b7f4f73400ae6,,"1,197.31",0.01%,$713.15
180,0xf473b0b9f8be3e5ff4cbda9757d803725732d3b1,,"1,195.71",0.01%,$712.20
181,0x0f7d2b5fb0276c2e1f877f071b1c3bfd171442d0,,"1,192.80",0.01%,$710.47
182,0x9bcbd29c0560b1c9fcc1acb586897b12edf6d4d2,,"1,149.19",0.01%,$684.50
183,0xf8f7e39b48949fd525041539b378f85af6ba90f9,,"1,147.80",0.01%,$683.66
184,0xe71356127715715727715f5cbd93608a41428882,,"1,133.84",0.01%,$675.35
185,0x189b0c0f21fa4839eed08ca49c735a42bad4d964,,"1,132.68",0.01%,$674.66
186,0xd31b51326f6d6ac1f8a78fe1a90a0a477cfc1c1d,,"1,102.06",0.01%,$656.42
187,0x742163b82dbd20b5b2004c02934c09b633ddc7ed,,"1,100.84",0.01%,$655.69
188,0x7b2366996a64effe1af089fa64e9cf4361fddc6e,,"1,100.51",0.01%,$655.50
189,0x9359e06c63ee9de16eb9be0c1e85a88242f4ec48,,"1,100",0.01%,$655.20
190,0xfd5bdb77dedd8b04524ac5141637356b55bf582c,,"1,095.72",0.01%,$652.65
191,0x5cb92610d15a501f558c8d1659194e3e4aa4a40f,,"1,093.13",0.01%,$651.10
192,0x8ec833a87c567c2108a24f414430d626ec609347,,"1,084.16",0.01%,$645.76
193,0xbac3125665a0fa07981806dd261bee2354260ba2,,"1,074.59",0.01%,$640.06
194,0x739ca340c8f82466a9ba5384baaf5b6249e954b9,,"1,067.00",0.01%,$635.54
195,0x53b154b7b594c07f5301380dc608eed71761377e,,"1,064.84",0.01%,$634.25
196,0x1429e7b4944d19c9b25af2a40627e394090ec858,,"1,062.00",0.01%,$632.56
197,0x5e763fbcc3c62c053dd0694bcc176eae2b5d2697,,"1,051.85",0.01%,$626.52
198,0xb208e3dcc8e2b091fa4b9aa65d528fdfdc8bfa93,,"1,048.25",0.01%,$624.37
199,0xe8e09a10748971471f3847d59db9585ddf95339a,,"1,043.60",0.01%,$621.60
200,0x2261d6404d719e2693e2b12cb057fdcdacb4dae0,,"1,031.00",0.01%,$614.10
201,0xfdd40c4c71884d0219b7c9c7533024d6f3bf97c9,,"1,031.00",0.01%,$614.09
202,0x7d9d6f75415348cc54495d37f8db5165dfa60c07,,"1,030.68",0.01%,$613.91
203,0x9f65baee153b4173bc95dd04d63bfb8d09f07c5c,,"1,026.04",0.01%,$611.14
204,0xc1b48c3cc5dcae2f024e5d6ce753061577fec074,,"1,019.70",0.01%,$607.37
205,0x69956effd299a0861a7bfdd6c70ae106835ce45d,,"1,019.26",0.01%,$607.10
206,0x2367432dc27e2e96b7ab8a0b0e4fcb28dd5a1c1f,,"1,017.90",0.01%,$606.29
207,0x1d4993a9e07091f7667858de0dbc7504ecd4b7c4,,"1,017.79",0.01%,$606.23
208,0x244103eaf414db32fdd78301bcdee19a284cbc8e,,"1,017.62",0.01%,$606.13
209,0xd881dc9287702d040c842a21269e9b876e9b1607,,"1,017.53",0.01%,$606.07
210,0x3a93d99b4e618057065f0fa873e5ff251c0afcb4,,"1,012.16",0.01%,$602.88
211,0xda0850ecd12cfc5ae679dec9b7967ec44dec99f2,,"1,010.41",0.01%,$601.83
212,0x899d4dc95facb37ce72106af27f3ac719505318c,,"1,009.51",0.01%,$601.30
213,0x7926ae243e176e2900eeb3605d6a6a84a855f48c,,"1,009.07",0.01%,$601.03
214,0x1331dcaef00b28b203d7c8ea0971189a46d714e0,,"1,005.41",0.01%,$598.86
215,0xd5c004149c574f62c22e7e0c3e666bc68eca9814,,"1,005.18",0.01%,$598.72
216,0xafee5ec9cd7847dd508ba723c29635ee7415f77f,,"1,004.41",0.01%,$598.26
217,0xa54d83f40a2edbc94bf9fb3ec2d7098d6f4520c5,,"1,003.02",0.01%,$597.43
218,0x36adf94af6a8fff055f562021ebab1760c622fd9,,"1,002.11",0.01%,$596.89
219,0x918f64eb8cbfa215a43543862277db60587ac2e4,,"1,002",0.01%,$596.82
220,0xcd597c96e9368f5726bd5743e9ed87424bfa6af3,,"1,001.88",0.01%,$596.75
